Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,9,0.01,0.9099999999999999,-17.43612693805349
75% Corpus,9,0.01,symmetric,-17.42142861872232
75% Corpus,9,0.31,0.01,-17.060639188078415
75% Corpus,9,0.31,0.31,-17.43716152570864
75% Corpus,9,0.31,0.61,-17.438645047398882
75% Corpus,9,0.31,0.9099999999999999,-17.42702439719007
75% Corpus,9,0.31,symmetric,-17.43830727244364
75% Corpus,9,0.61,0.01,-17.060639188078415
75% Corpus,9,0.61,0.31,-18.97798530609308
75% Corpus,9,0.61,0.61,-19.004260946599572
75% Corpus,9,0.61,0.9099999999999999,-19.01243441633195
75% Corpus,9,0.61,symmetric,-18.797643587560472
75% Corpus,9,0.9099999999999999,0.01,-17.060639188078415
75% Corpus,9,0.9099999999999999,0.31,-19.01252222357184
75% Corpus,9,0.9099999999999999,0.61,-18.997958132127135
75% Corpus,9,0.9099999999999999,0.9099999999999999,-19.001719613097116
75% Corpus,9,0.9099999999999999,symmetric,-18.99534407737333
75% Corpus,9,symmetric,0.01,-17.060639188078415
75% Corpus,9,symmetric,0.31,-17.454080046516523
75% Corpus,9,symmetric,0.61,-17.432748001694264
75% Corpus,9,symmetric,0.9099999999999999,-17.447103088739222
75% Corpus,9,symmetric,symmetric,-17.56658256765749
75% Corpus,9,asymmetric,0.01,-17.060639188078415
75% Corpus,9,asymmetric,0.31,-17.447744194973158
75% Corpus,9,asymmetric,0.61,-17.42746592890013
75% Corpus,9,asymmetric,0.9099999999999999,-17.457529382503235
75% Corpus,9,asymmetric,symmetric,-17.329009002481975
75% Corpus,10,0.01,0.01,-17.06063918807842
75% Corpus,10,0.01,0.31,-17.387930116890963
75% Corpus,10,0.01,0.61,-17.380272980871727
75% Corpus,10,0.01,0.9099999999999999,-17.383637130596103
75% Corpus,10,0.01,symmetric,-17.06063918807842
75% Corpus,10,0.31,0.01,-17.06063918807842
75% Corpus,10,0.31,0.31,-17.361789963082877
75% Corpus,10,0.31,0.61,-17.384102759442406
75% Corpus,10,0.31,0.9099999999999999,-17.38311000778712
75% Corpus,10,0.31,symmetric,-17.363721967587516
75% Corpus,10,0.61,0.01,-17.06063918807842
75% Corpus,10,0.61,0.31,-18.9924339741107
75% Corpus,10,0.61,0.61,-19.001750441473327
75% Corpus,10,0.61,0.9099999999999999,-19.012833088812066
75% Corpus,10,0.61,symmetric,-18.92913932214872
75% Corpus,10,0.9099999999999999,0.01,-17.06063918807842
75% Corpus,10,0.9099999999999999,0.31,-19.019924644786126
75% Corpus,10,0.9099999999999999,0.61,-18.99652333244944
75% Corpus,10,0.9099999999999999,0.9099999999999999,-18.99260962879029
75% Corpus,10,0.9099999999999999,symmetric,-19.010419512352513
75% Corpus,10,symmetric,0.01,-17.06063918807842
75% Corpus,10,symmetric,0.31,-17.380334336466742
75% Corpus,10,symmetric,0.61,-17.38197501388777
75% Corpus,10,symmetric,0.9099999999999999,-17.3857961130516
75% Corpus,10,symmetric,symmetric,-17.762767083585352
75% Corpus,10,asymmetric,0.01,-17.06063918807842
75% Corpus,10,asymmetric,0.31,-17.375913478532205
75% Corpus,10,asymmetric,0.61,-17.37375685321103
75% Corpus,10,asymmetric,0.9099999999999999,-17.38414289882615
75% Corpus,10,asymmetric,symmetric,-17.345644375514475
100% Corpus,2,0.01,0.01,-17.060639188078415
100% Corpus,2,0.01,0.31,-17.850357302612554
100% Corpus,2,0.01,0.61,-17.836405924458777
100% Corpus,2,0.01,0.9099999999999999,-17.825803831289818
100% Corpus,2,0.01,symmetric,-17.832083544337827
100% Corpus,2,0.31,0.01,-17.060639188078415
100% Corpus,2,0.31,0.31,-17.835534266214026
100% Corpus,2,0.31,0.61,-17.818122069717347
100% Corpus,2,0.31,0.9099999999999999,-17.824818662207157
100% Corpus,2,0.31,symmetric,-17.808087723468446
100% Corpus,2,0.61,0.01,-17.060639188078415
100% Corpus,2,0.61,0.31,-17.837333120304983
100% Corpus,2,0.61,0.61,-17.82575469943133
100% Corpus,2,0.61,0.9099999999999999,-17.855397920934116
100% Corpus,2,0.61,symmetric,-17.81749528733169
100% Corpus,2,0.9099999999999999,0.01,-17.060639188078415
100% Corpus,2,0.9099999999999999,0.31,-17.947741429872863
100% Corpus,2,0.9099999999999999,0.61,-17.980200102064522
100% Corpus,2,0.9099999999999999,0.9099999999999999,-17.86510912211144
100% Corpus,2,0.9099999999999999,symmetric,-17.957049913059713
100% Corpus,2,symmetric,0.01,-17.060639188078415
100% Corpus,2,symmetric,0.31,-17.816711212905638
100% Corpus,2,symmetric,0.61,-17.819076128433217
100% Corpus,2,symmetric,0.9099999999999999,-17.829332458223213
100% Corpus,2,symmetric,symmetric,-17.840532267485397
100% Corpus,2,asymmetric,0.01,-17.060639188078415
100% Corpus,2,asymmetric,0.31,-17.91390651558158
100% Corpus,2,asymmetric,0.61,-17.79735436519371
100% Corpus,2,asymmetric,0.9099999999999999,-17.805124511357487
100% Corpus,2,asymmetric,symmetric,-17.90545469762709
100% Corpus,3,0.01,0.01,-17.060639188078415
100% Corpus,3,0.01,0.31,-17.68270113622076
100% Corpus,3,0.01,0.61,-17.66585440716057
100% Corpus,3,0.01,0.9099999999999999,-17.708029237996758
